Titre,Artiste,Mapper,Date de création,Date de ranked,État de la carte,Nominator,Genre,Langue,Playcount,Likes,Length,BPM,Circle Count,Slider Count,Circle Size,HP Drain,Accuracy,Approach Rate,Star Rating,Game Mode,Difficultés,URL
Vortal Combat,Kelly Bailey,woozlez,2008-07-05,2008-11-10,,,Tous,Non spécifiée,0,1,2:09,124,108,57,5,6,6,6,"2,62",osu,Difficulty 3,https://osu.ppy.sh/beatmapsets/1937
Vortal Combat,Kelly Bailey,woozlez,2008-07-05,2008-11-10,,,Tous,Non spécifiée,0,1,2:09,124,141,46,5,7,7,7,"3,17",osu,Difficulty 4,https://osu.ppy.sh/beatmapsets/1937
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,https://osu.ppy.sh/beatmapsets/1938
Uninstall,Chiaki Ishikawa,neo@lex,2008-07-06,2008-08-02,CIMETIÈRE,,Tous,Non spécifiée,0,N/A,1:24,"122,5",25,20,4,4,4,4,"1,74",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/1939
Uninstall,Chiaki Ishikawa,neo@lex,2008-07-06,2008-08-02,CIMETIÈRE,,Tous,Non spécifiée,0,N/A,1:24,"122,5",53,39,5,5,5,5,"2,26",osu,Difficulty 2,https://osu.ppy.sh/beatmapsets/1939
Uninstall,Chiaki Ishikawa,neo@lex,2008-07-06,2008-08-02,CIMETIÈRE,,Tous,Non spécifiée,0,N/A,1:24,"122,5",63,56,6,6,6,6,"2,64",osu,Difficulty 3,https://osu.ppy.sh/beatmapsets/1939
I am the Eggman! (Eggman's Theme),Crush-40,Metroid,2008-07-06,2008-07-13,CIMETIÈRE,,Tous,Non spécifiée,0,1,2:14,"132,92",101,27,5,5,5,5,"2,74",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/1940
I am the Eggman! (Eggman's Theme),Crush-40,Metroid,2008-07-06,2008-07-13,CIMETIÈRE,,Tous,Non spécifiée,0,1,2:14,"132,92",101,27,5,5,5,5,"2,78",osu,Difficulty 2,https://osu.ppy.sh/beatmapsets/1940
I am the Eggman! (Eggman's Theme),Crush-40,Metroid,2008-07-06,2008-07-13,CIMETIÈRE,,Tous,Non spécifiée,0,1,2:15,"132,92",229,15,5,5,7,7,"2,85",osu,Difficulty 3,https://osu.ppy.sh/beatmapsets/1940
Boulevard Of Broken Dreams,Green Day,kingcobra52,2008-07-06,2008-09-02,,"Mogsy, Dakeyrus",Rock,Anglais,1 601 556,1 476,3:02,"167,25",81,56,3,4,4,4,"1,48",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/1941
Boulevard Of Broken Dreams,Green Day,kingcobra52,2008-07-06,2008-09-02,,"Mogsy, Dakeyrus",Rock,Anglais,1 601 556,1 476,3:02,"167,25",112,76,4,5,4,4,"1,78",osu,Difficulty 2,https://osu.ppy.sh/beatmapsets/1941
Boulevard Of Broken Dreams,Green Day,kingcobra52,2008-07-06,2008-09-02,,"Mogsy, Dakeyrus",Rock,Anglais,1 601 556,1 476,3:44,"167,25",315,91,5,6,6,6,"2,84",osu,Difficulty 3,https://osu.ppy.sh/beatmapsets/1941
Young King Ours,,idunnoknowlol,2008-07-06,2008-07-06,CIMETIÈRE,,Tous,Non spécifiée,0,N/A,1:03,"180,01",82,24,5,5,5,5,"2,99",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/1942
Chung Kuo Hua-Chinese,S.H.E.,shindrgon,2008-07-06,2008-11-03,CLASSÉE,"m980, James",Pop,Chinois,194 232,128,2:14,100,75,37,4,3,4,4,"1,64",osu,Difficulty 1,https://osu.ppy.sh/beatmapsets/1943
